Phase,Stratum,SubRegion
17_1,LRHD,Mid Suisun Bay
17_1,LRHD,Suisun Marsh
17_1,LRHD,Honker Bay
17_1,LRHD,Lower Sacramento River
17_1,LRHD,Lower San Joaquin River
17_1,LRHD,Sacramento River near Rio Vista
17_1,LRHD,Cache Slough and Liberty Island
17_1,LRHD,Sacramento River Ship Channel
17_1,LRLD,East San Pablo Bay
17_1,LRLD,Upper Napa River
17_1,LRLD,Lower Napa River
17_1,LRLD,Carquinez Strait
17_1,LRLD,West Suisun Bay
17_1,LRLD,Sacramento River near Ryde
17_1,LRLD,Upper Sacramento River
17_1,LRLD,North and South Forks Mokelumne River
17_1,HRHD,San Joaquin River at Twitchell Island
17_1,HRHD,San Joaquin River at Prisoners Pt
17_1,HRLD,Franks Tract
17_1,HRLD,Holland Cut
17_1,HRLD,Middle River
17_1,HRLD,Upper San Joaquin River
17_1,HRLD,Victoria Canal
17_1,HRLD,Grant Line Canal and Old River
17_1,HRLD,San Joaquin River near Stockton
17_1,HRLD,Old River
17_1,HRLD,Disappointment Slough
17_1,HRLD,Rock Slough and Discovery Bay
17_1,HRLD,Mildred Island
